S,M,NLL,j,σ,AIC,β
1000,250,-130.28644946946022,7,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,7,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,7,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,7,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,7,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,7,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,8,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,8,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,8,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,8,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,8,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,8,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,8,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,8,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,8,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,8,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,8,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,8,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,8,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,8,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,8,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,8,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,9,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,9,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,9,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,9,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,9,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,9,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,9,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,9,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,9,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,9,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,9,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,9,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,9,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,9,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,9,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,9,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,10,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,10,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,10,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,10,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,10,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,10,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,10,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,10,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,10,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,10,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,10,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,10,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,10,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,10,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,10,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,10,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,11,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,11,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,11,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,11,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,11,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,11,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,11,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,11,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,11,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,11,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,11,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,11,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,11,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,11,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,11,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,11,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,12,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,12,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,12,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,12,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,12,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,12,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,12,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,12,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,12,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,12,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,12,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,12,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,12,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,12,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,12,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,12,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,13,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,13,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,13,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,13,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,13,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,13,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,13,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,13,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,13,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,13,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,13,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,13,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,13,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,13,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,13,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,13,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,14,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,14,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,14,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,14,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,14,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,14,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,14,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,14,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,14,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,14,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,14,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,14,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,14,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,14,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,14,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,14,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,15,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,15,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,15,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,15,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,15,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,15,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,15,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,15,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,15,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,15,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,15,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,15,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,15,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,15,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,15,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,15,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,16,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,16,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,16,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,16,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,16,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,16,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,16,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,16,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,16,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,16,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,16,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,16,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,16,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,16,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,16,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,16,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,17,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,17,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,17,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,17,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,17,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,17,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,17,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,17,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,17,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,17,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,17,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,17,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,17,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,17,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,17,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,17,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,18,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,18,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,18,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,18,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,18,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,18,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,18,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,18,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
50,250,-130.21129005131746,18,8.02121192652603e-9,-256.4225801026349,4.442583704192418e-6
250,250,-130.1640275157517,18,7.063574623079588e-9,-256.3280550315034,4.456904610320266e-6
1000,250,-130.28644946946022,18,6.215805859493928e-9,-256.57289893892045,4.447878031270341e-6
2500,250,-130.2856905422712,18,6.568336360650388e-9,-256.5713810845424,4.446945246080593e-6
50,1000,-115.17214486383156,18,5.311490009158679e-8,-226.34428972766312,4.602497864086074e-6
250,1000,-125.50264196866983,18,1.3919491277744575e-8,-247.00528393733967,4.441297840995823e-6
1000,1000,-129.2837074509145,18,8.183443089710858e-9,-254.567414901829,4.449187360872283e-6
2500,1000,-130.26783584860948,18,6.920291134096722e-9,-256.53567169721896,4.450123171983453e-6
50,10,-129.79746741421746,19,6.697286065259563e-9,-255.59493482843493,4.446315110854833e-6
250,10,-129.9949744098698,19,6.699351208164024e-9,-255.9899488197396,4.4472352316379005e-6
1000,10,-129.72589198301696,19,6.6825586379233675e-9,-255.45178396603393,4.446587412318274e-6
2500,10,-129.7224883050647,19,6.618690366296993e-9,-255.4449766101294,4.4467173907025544e-6
50,100,-130.99583711026582,19,9.093907507889022e-9,-257.99167422053165,4.450899348936133e-6
250,100,-129.68949920884612,19,9.37253762352095e-9,-255.37899841769223,4.449600302828049e-6
1000,100,-129.6142851402769,19,8.362656902657414e-9,-255.2285702805538,4.447080489426702e-6
2500,100,-129.8112920786492,19,6.401424888674776e-9,-255.62258415729838,4.4479993125680614e-6
